Accession,Geo_Location
MT517430,Czech Republic
MT517431,Czech Republic
MT517432,Czech Republic
MT517433,Czech Republic
MT517434,Czech Republic
MT517436,Taiwan
MT517437,Taiwan
MT522852,USA
MT522853,USA
MT522854,USA
MT522855,USA
MT510643,Russia: Moscow region
MT510718,USA
MT510719,USA
MT510720,USA
MT510721,USA
MT510722,USA
MT510723,USA
MT510724,USA
MT510725,USA
MT510726,USA
MT510727,China
MT510728,China
MT510747,Russia: Moscow region
MT510999,Netherlands: Leiden
MT511066,Poland
MT511067,Poland
MT511068,Poland
MT511069,Poland
MT511070,Poland
MT511071,Poland
MT511072,Poland
MT511073,Poland
MT511074,Poland
MT511075,Poland
MT511076,Poland
MT511077,Poland
MT511078,Poland
MT511079,Poland
MT511080,Poland
MT511081,Poland
MT511082,Poland
MT511673,USA: FL
MT511674,USA: FL
MT511675,USA: FL
MT511676,USA: FL
MT511677,USA: FL
MT511678,USA: FL
MT511679,USA: FL
MT511680,USA: FL
MT511681,USA: FL
MT511682,USA: FL
MT511683,USA: FL
MT511684,USA: FL
MT511685,USA: FL
MT511686,USA: FL
MT511687,USA: FL
MT511688,USA: FL
MT511689,USA: FL
MT511690,USA: FL
MT511691,USA: FL
MT511692,USA: FL
MT511693,USA: FL
MT511694,USA: FL
MT511695,USA: FL
MT511696,USA: FL
MT511697,USA: FL
MT511698,USA: FL
MT511699,USA: FL
MT511700,USA: FL
MT511701,USA: FL
MT512415,USA
MT512416,USA
MT512417,USA
MT512418,USA
MT512419,USA
MT512420,USA
MT512421,USA
MT512422,USA
MT512423,USA
MT512424,USA
MT512425,USA
MT512426,USA
MT512427,USA
MT512428,USA
MT512429,USA
MT512430,USA
MT512431,USA
MT512433,USA
MT512434,USA
MT512435,USA
MT512436,USA
MT512437,USA
MT512438,USA
MT512439,USA
MT512440,USA
MT512441,USA
MT512442,USA
MT512443,USA
MT512444,USA
MT512445,USA
MT512446,USA
MT512447,USA
MT512644,USA
MT512645,USA
MT509958,Bangladesh
MT509959,India: Jamnagar
MT509649,India: Vadodara
MT509650,India: Vadodara
MT509651,India: Vadodara
MT509656,India: Vadodara
MT509657,India: Dahod
MT509658,India: Dahod
MT509659,India: Vadodara
MT509669,USA: Michigan
MT509670,USA: Michigan
MT509671,USA: Michigan
MT509672,USA: Michigan
MT509673,USA: Michigan
MT509674,USA: Michigan
MT509675,USA: Michigan
MT509676,USA: Michigan
MT509677,USA: Michigan
MT509678,USA: Michigan
MT509679,USA: Michigan
MT509680,USA: Michigan
MT509681,USA: Michigan
MT509682,USA: Michigan
MT509683,USA: Michigan
MT509684,USA: Michigan
MT509685,USA: Michigan
MT509686,USA: Michigan
MT509687,USA: Michigan
MT509688,USA: Michigan
MT509689,USA: Michigan
MT509690,USA: Michigan
MT509691,USA: Michigan
MT509692,USA: Michigan
MT509693,USA: Michigan
MT509694,USA: Michigan
MT509695,USA: Michigan
MT509696,USA: Michigan
MT509697,USA: Michigan
MT509698,USA: Michigan
MT509699,USA: Michigan
MT509700,USA: Michigan
MT509701,USA: Michigan
MT509702,USA: Michigan
MT509703,USA: Michigan
MT509704,USA: Michigan
MT509452,USA
MT509453,USA
MT509454,USA
MT509455,USA
MT509456,USA
MT509457,USA
MT509458,USA
MT509459,USA
MT509460,USA
MT509461,USA
MT509462,USA
MT509463,USA
MT509464,USA
MT509465,USA
MT509466,USA
MT509467,USA
MT509468,USA
MT509469,USA
MT509470,USA
MT509471,USA
MT509472,USA
MT509473,USA
MT509474,USA
MT509475,USA
MT509476,USA
MT509477,USA
MT509478,USA
MT509479,USA
MT509480,USA
MT509481,USA
MT509482,USA
MT509483,USA
MT509484,USA
MT509485,USA
MT509486,USA
MT509487,USA
MT509488,USA
MT509489,USA
MT509490,USA
MT509491,USA
MT509492,USA
MT509493,USA
MT509494,India: Vadodara
MT509495,India: Kodinar
MT509496,India: Botad
MT509497,India: Una
MT509498,India: Jamnagar
MT509499,India: Jamnagar
MT509500,India: Dahod
MT509501,India: Jamnagar
MT509502,India: Jamnagar
MT509503,India: Junagadh
MT509504,India: Rajkot
MT509505,India: Ahmedabad
MT509506,India: Rajkot
MT509507,India: Una
MT509508,India: Jamnagar
MT509509,India: Ahmedabad
MT509510,India: Una
MT509511,India: Rajkot
