NC_045512	China
MT539158	Bangladesh
MT539159	Bangladesh
MT539160	Bangladesh
MT539161	USA
MT539162	USA
MT539163	USA
MT539164	India
MT539165	India
MT539166	India
MT539167	India
MT539168	India
MT539169	India
MT539170	India
MT539171	India
MT539172	India
MT539173	India
MT539174	India
MT539175	India
MT539176	India
MT407649	China
MT407650	China
MT407651	China
MT407652	China
MT407653	China
MT407654	China
MT407655	China
MT407656	China
MT407657	China
MT407658	China
MT407659	China
MT534285	Czech Republic
MT534303	USA
MT534304	USA
MT534305	USA
MT534306	USA
MT534307	USA
MT534308	USA
MT534309	USA
MT534310	USA
MT534311	USA
MT534312	USA
MT534313	USA
MT534314	USA
MT534315	USA
MT534316	USA
MT534317	USA
MT534318	USA
MT534319	USA
MT534320	USA
MT534321	USA
MT534322	USA
MT534323	USA
MT534324	USA
MT534325	USA
MT534326	USA
MT534327	USA
MT534328	USA
MT534329	USA
MT534330	USA
MT534331	USA
MT534332	USA
MT534333	USA
MT534334	USA
MT534335	USA
MT534336	USA
MT534337	USA
MT534338	USA
MT534339	USA
MT534630	China
MT535472	USA
MT535473	USA
MT535474	USA
MT535475	USA
MT535476	USA
MT535477	USA
MT535478	USA
MT535479	USA
MT535480	USA
MT535481	USA
MT535482	USA
MT535483	USA
MT535484	USA
MT535485	USA
MT535486	USA
MT535487	USA
MT535488	USA
MT535489	USA
MT535490	USA
MT535491	USA
MT535492	USA
MT535493	USA
MT535494	USA
MT535495	USA
MT535496	USA
MT535497	USA
MT535498	USA
MT535499	USA
MT535500	USA
MT535501	USA
MT535502	USA
MT535503	USA
MT535504	USA
MT535505	USA
MT535506	USA
MT535507	USA
MT535508	USA
MT535509	USA
MT536176	USA
MT536177	USA
MT536178	USA
MT536179	USA
MT536180	USA
MT536181	USA
MT536182	USA
MT536183	USA
MT536184	USA
MT536185	USA
MT536186	USA
MT536187	USA
MT536188	USA
MT536189	USA
MT536190	USA
MT536954	USA
MT536955	USA
MT536956	USA
MT536957	USA
MT536958	USA
MT536959	USA
MT536960	USA
MT536961	USA
MT536962	USA
MT536963	USA
MT536964	USA
MT536965	USA
MT536966	USA
MT536967	USA
MT536968	USA
MT536969	USA
MT536970	USA
MT536971	USA
MT536972	USA
MT536973	USA
MT536974	USA
MT536975	USA
MT536976	USA
MT536977	USA
MT525950	Italy
MT527178	Italy
MT527184	Italy
MT528235	Italy
MT528237	Italy
MT528238	Italy
MT528239	Italy
MT528598	USA
MT528599	USA
MT528600	USA
MT528601	USA
MT528602	USA
MT528603	USA
MT528604	USA
MT528605	USA
MT528606	USA
MT528607	USA
MT528608	USA
MT528609	USA
MT528610	USA
MT528611	USA
MT528612	USA
MT528613	USA
MT528614	USA
MT528615	USA
MT528616	USA
MT528617	USA
MT528618	USA
MT528619	USA
MT528620	USA
MT528621	USA
MT528622	USA
MT528623	USA
MT528624	USA
MT528625	USA
MT528626	USA
MT528627	USA
MT528628	USA
MT528629	USA
MT528630	USA
MT528631	USA
MT531537	Italy
MT532435	USA
MT532436	USA
MT532437	USA
MT532438	USA
MT532557	USA
MT533197	USA
MT533198	USA
MT533199	USA
MT533200	USA
MT533201	USA
MT533202	USA
MT533203	USA
MT533204	USA
MT533205	USA
MT533206	USA
MT533207	USA
MT533208	USA
MT533209	USA
MT533210	USA
MT533211	USA
MT533212	USA
MT533213	USA
MT533214	USA
MT533215	USA
MT533216	USA
MT533217	USA
MT533218	USA
MT533219	USA
MT533220	USA
MT533221	USA
MT533222	USA
MT533223	USA
MT533224	USA
MT533225	USA
MT533226	USA
MT533227	USA
MT533228	USA
MT533229	USA
MT533230	USA
MT533231	USA
MT533232	USA
MT533233	USA
MT533234	USA
MT533235	USA
MT533236	USA
MT533237	USA
MT533238	USA
MT506974	USA
MT506975	USA
MT506976	USA
MT506977	USA
MT506978	USA
MT506979	USA
MT506980	USA
MT506981	USA
MT506982	USA
MT506983	USA
MT506984	USA
MT506985	USA
MT506986	USA
MT506987	USA
MT506988	USA
MT506989	USA
MT506990	USA
MT506991	USA
MT506992	USA
MT506993	USA
MT506994	USA
MT506995	USA
MT506996	USA
MT506997	USA
MT506998	USA
MT506999	USA
MT507000	USA
MT507001	USA
MT507002	USA
MT507003	USA
